goal;sdt-cluster;title;description;gpt_sector;gpt_sector_reason;source;label_manual
I would like to be part of a social group.;relatedness;GIS specialist ;"Under the direct supervision of GIS technical officer, the national UN Volunteer will undertake the following tasks:
1. Produce info-graphics and thematic maps for operational, reporting and monitoring purposes.
2. Assist in the development of needed GIS web applications and dashboards to support the decision-making process in health emergencies.
3. Conduct the needed spatial analysis in support of IMSTs and EOCs.
4. Maintain and update the Regional GIS Portal for health emergencies by updating the geo database repository, map stories, dashboards and signal and events application.
5. Assist in conducting GIS capacity-building workshops for EMR member states.
6. Work closely with the country offices to support the GIS related activities at country level and update the contact lists of GIS network.
7. Any other related tasks as may be required or assigned by the supervisor.
";Katastrophenhilfs- und Rettungsdienste;GIS for health emergencies;UN;0.0
I would like to control my physical environment.;relatedness;Statisten gesucht für Einsatzkräfteübung 'im Gefahrenbereich';Das Rote Kreuz Pregarten sucht für eine Einsatzübung noch Statisten, welche in die Rolle eines Verletzten in einem simulierten (sicheren) Gefahrenbereich schlüpfen, um den Einsatzkräften eine Akutbehandlung im Gefahrenbereich zu ermöglichen.;Katastrophenhilfs- und Rettungsdienste;;SELF;0.0
I would like to spend more time in nature and fresh air;relatedness;Assistant Transport;"Under the authority and supervision of the Transport Assistant or his/her designated representative(s), the UN Volunteer will perform the duties associated with this assignment.

 1. Conduct the distribution of non-expendable transport equipment:
 - Conduct a semi-annual physical inventory of non-expendable transport equipment in accordance with established procedures and timelines.
 - Carry out vehicle inspections and handovers.
 - Maintain records of non-expendable transport equipment.
 - Process vehicle accident/incident report documents and prepare damage discrepancy reports on the UMOJA system. 

2. Tasks of the Transport Maintenance Workshop: 
- Coordinate the maintenance and repair of UN-owned vehicles in accordance with vehicle manufacturer standards.
 - Perform vehicle inspections as workshop receptionist.
 - Create service orders in the UMOJA system, monitor and coordinate workshop activities.
 - Prepare reports on workshop performance, customer support and other workshop-related activities
 - Enter and update information in the Electronic Vehicle Monitoring System (EVMS) 
- Prepare travel requests in the UMOJA system for technicians assigned to perform tasks at various team locations in the central sector and follow up with stakeholders for DSA processing and payment. 

3. Transport Warehouse Duties:
 - Maintain a stock of light and heavy vehicle spares and distribute required quantities to workshop technicians.
 - Carry out regular physical stock checks and transport inventory verifications.
 - Maintain stock records in accordance with established procedures and deadlines. 
- Determine technical specifications, part numbers and draft Stock Transfer Order (STO) requests for spare parts, tools and equipment in accordance with UMOJA procedures
 - Ensure that sufficient stock is available at all times, that surplus or obsolete parts are disposed of appropriately and that a Cargo Movement Request (CMR) is created on the FSS system.

4. Transport dispatching duties: 
-Coordinate the provision of regular shuttle services on established routes.
 -Coordinate the provision of ad hoc transport services to meet all requirements, including the movement of personnel and equipment for operational purposes.
 -Monitor mechanical conditions and ensure that daily maintenance is carried out on all dispatch vehicles and shuttle buses. 
-Maintain records and documentation related to assigned tasks and prepare reports - Monitor mileage and fuel consumption reports and initiate fuel requisitions for all MINUSCA-owned light and heavy vehicles in Kaga Bandoro.

 5. Tasks related to driver testing of transport vehicles:
 - Maintain databases to monitor mission personnel in possession of a UN driver's license
 - Create driver's license applications in FSS and assist in conducting driver's test evaluation for MINUSCA personnel in Kaga Bandoro. 

6. Perform other related tasks as requested by supervisors. In addition, UN Volunteers are encouraged to integrate the mandate of the UN Volunteers program into their mission and to promote voluntary action by engaging with communities as part of their work. Thus, UN Volunteers should devote part of their working time to some of the following suggested activities: 
- Strengthen their knowledge and understanding of the concept of volunteerism by reading relevant UNV and external publications and actively participate in UNV activities (e.g. events marking International Volunteer Day); 
- Become familiar with and build on traditional and/or local forms of volunteerism in the host country; 
- Provide annual and end-of-mission reports on UNV actions, results and opportunities.   
- Contribute to articles/essays on field experiences and submit them for UNV publications/websites, newsletters, press releases, etc. Promote or advise local groups in the use of online volunteering or encourage relevant local individuals and organizations to use the UNV Online Volunteering service whenever technically possible. 13. Expected results / outputs - As an active member of the transport team, provide efficient, timely, responsive, user-friendly and high-quality support to MINUSCA and its beneficiaries in the performance of its duties, including: - Check the readiness of all dispatch vehicles prior to use and verify that all equipment supplied to the respective vehicles is in working order.
";Katastrophenhilfs- und Rettungsdienste;Transport und Logistik;UN;0.0
I would like to be a leader and be in charge.;relatedness;GIS specialist ;"Under the direct supervision of GIS technical officer, the national UN Volunteer will undertake the following tasks:
1. Produce info-graphics and thematic maps for operational, reporting and monitoring purposes.
2. Assist in the development of needed GIS web applications and dashboards to support the decision-making process in health emergencies.
3. Conduct the needed spatial analysis in support of IMSTs and EOCs.
4. Maintain and update the Regional GIS Portal for health emergencies by updating the geo database repository, map stories, dashboards and signal and events application.
5. Assist in conducting GIS capacity-building workshops for EMR member states.
6. Work closely with the country offices to support the GIS related activities at country level and update the contact lists of GIS network.
7. Any other related tasks as may be required or assigned by the supervisor.
";Katastrophenhilfs- und Rettungsdienste;GIS for health emergencies;UN;0.0
I would like to entertain, amuse others.;relatedness;"Volunteering with children and youth at ""Elisabethheim""";"Activity description
        The Elisabethheim Havetoft is dedicated to the admission, attendance and the support of children and teenagers who need help in education. At Elisabethheim, there are daily groups, living groups, farming and therapy groups. Children and teenagers coming from diffcult family backgrounds or a history of delinquental behaviour, homelessness or a refugee background are given a home. As a volunteer, you have plenty of opportunities to take initiative and start your own projects!                    Accommodation, food and transport arrangements
        Volunteers live in a volunteers' flat on-site. They get a single room and share kitchen and bathroom with other volunteers. Pocket money is 210€/month plus food allowances. The area is beautiful and rural. As public transport is rare, it is possible to use the organisational cars for private purposes. Next bigger towns are Flensburg and Schleswig.                     Training during the activity
        The volunteer will receive at least one German language course. Additionally they will get an online language course via the OLS system. The volunteer has the possibility to take part in team meetings at Elisabethheim. They will also have regular meetings with their tutor only. Furthermore, seminars and workshops organised by the German National Agency, and the coordinating organisation VIA e.V. provide space for learning and sharing. The volunteer reiceives a Youthpass-certificate at the end of their volunteering.                    Participant profile
        Your motivation is the most important selection criteria!
Other criteria are: 
• interest in working with children and teenagers
• an international driving licence as well as driving experience 
• German language skills would be appreciated 
• desirable: initial experience in the field of education";Kinderbetreuung;Die Freiwilligentätigkeit beinhaltet die Betreuung von Kindern und Jugendlichen im Bereich der Bildung und pädagogischen Unterstützung.;EU;1.0
I would like to have a good marriage.;relatedness; Help with tent camps;How you can get involved... What is expected of you Enjoyment in dealing with children and young peopleEnjoyment of working in a teamDealing with and identifying with the values of the Kinderfreunde What you get from the organization for your commitment Third party insurance Legal protection insurance Accident insurance Further training opportunities Opportunity to contribute your own ideas and suggestions Opportunity to contribute your own ideas and suggestions Kinderfreunde Upper Austria Contact personHannes ZweimüllerHead of Volunteering0732 773011 45hannes.zweimueller@kinderfreunde-ooe.at Always stay up to date with our newsletter Tips for your voluntary work, current opportunities to get involved or exciting events straight to your inbox.;Kinderbetreuung;Dealing with children and youth;ULF;0.0
I would like to have stability in life and avoid change.;relatedness;children's summer camp youth leader;"interested in furthering your leadership skills? want to use your personal knowledge and skills for a good cause? come and volunteer for children's summer camp this year!

volunteer’s duties:
•	facilitate or assist in ice-breakers, games, and other fun activities
•	facilitate or assist in science experiments and crafts
•	enforce safety rules during camp and fieldtrips
•	be a positive role model 

skills required:
•	mature, patient, organized, willing to take and follow instructions from program coordinator
•	enjoy working with children and making a positive difference in their lives
•	a team player
•	respectful towards staff, children, and parents

volunteer dates:
•	camp 1: july 8-12 from 9:00 am – 4:00 pm
•	camp 2: july 15-19 from 9:00 am – 4:00 pm
•	camp 3: july 22-26 from 9:00 am – 4:00 pm
•	camp 4: july 29-august 2 from 9:00 am – 4:00 pm
•	camp 5: august 6-9 from 9:00 am – 4:00 pm
•	camp 6: august 12-16 from 9:00 am – 4:00 pm

time commitment: 1 full camp (5 days a week, 7 hrs a day)
if interested, volunteers may volunteer for more than one camp.";Kinderbetreuung;Working with children in camp.;VC;0.0
I would like to avoid effort or work.;relatedness;InSYNC;"Activity description
        Associação SóJovem provides learning opportunities to volunteers in digitalization, youth participation, green practices, ecology, sports, art, and cultural activities. The organization fosters a warm atmosphere and provides free space for participants' creativity. The volunteering program will last for 9 months in Ermesinde, Porto.

Tasks include:

Organizing a Summer Camp for children
Supporting Theatre Workshops
Facilitating Intercultural Activities
Organizing Sport Events
Running Music Workshops
Engaging in Green activities such as walking, presentations, and awareness raising
Supporting Photography sessions
Each volunteer will have an individual task that encourages creativity.

Volunteers will learn:

The process of Erasmus+ projects
Designing using Canva and other tools
Photography
Theatre techniques
Youth Work practices
Green practices
Ecologic awareness
The project will provide a safe atmosphere for volunteers to showcase their creativity and potential.""                    Accommodation, food and transport arrangements
        Accommodation:

The organization and accommodation are located in Ermesinde, Porto. Volunteers will share rooms (2-3 volunteers per room) in a flat. The accommodation provides all conditions are necessary.

Food:

Volunteers will receive a food allowance according to the European Solidarity Corps program guide.

Transportation:

Travel from the volunteer's country to Portugal will be covered by the program, according to the distance of the country.

Volunteers will not need transportation during the project. If any activity requires transportation, the organization will cover.                    Training during the activity
        Volunteers will participate in on-arrival and mid-term training organized by the National Agency of Portugal.

Additionally, we will provide various trainings to volunteers, including:

Soft Skills
Digital Literacy
Gender Education
Theatre
Music
Language courses are not covered by the project; however, the organization will support volunteers in registering for Online Language Support (OLS). The organization's Youth Workers will facilitate and support the volunteers in learning Portuguese.                    Participant profile
        Associação Sójovem is a youth organization that is currently seeking volunteers who are enthusiastic about youth work and non-formal education. Creativity, readiness to take initiative, and problem-solving skills are key attributes for the volunteer profile. The organization prioritizes supporting volunteers with fewer opportunities.

Other skills and interests sought include proficiency in digital tools, theater, music, intercultural exchange, and children's animation.

Volunteers must be fluent in English or Portuguese.";Kunst, Kultur, Unterhaltung;The volunteering tasks involve organizing theatre workshops, music workshops, photography sessions, and engaging in cultural activities.;EU;0.0
I would like to be good looking and attractive.;relatedness;"Global Cultural Networker
          
          


Save to Favorites";Organization DescriptionAcquaint is a nonprofit peacebuilding organization that works to heal divisions and prevent conflict. Enthusiastic volunteers from 45+ countries connect on our website for one-on-one conversations to share culture and perspectives.Role DescriptionCultural Networking is a remote volunteer opportunity based on each volunteer’s schedule. Each week, you will enter available days and times on the Acquaint website. Based on your availability, you will be paired with a fellow volunteer for at least one session per week. Sessions last an average of 45 minutes, and the goal is to ask questions, learn about the other person, and build our intercultural communication skills. A series of virtual icebreakers help move the conversation along.Once you apply, you will receive an email with Acquaint's volunteer handbook and a short open-book quiz to complete. Once you've submitted it, an Acquaint team member will be in touch with you to invite you to an onboarding session.Qualifications and RequirementsEnglish language fluencyBasic computer skillsInternet connectionMust be 15 years of age or olderIf under 18, permission from a parent or guardianTime CommitmentMinimum of 1 hour per weekFlexible schedulingOpen Hours: 5:00am - 10:00pm Pacific Time (United States)Onboarding/training takes 3-5 hoursJoin Acquaint today to help turn cultural networking into a movement. Together we can empower people worldwide to understand each other and build global solidarity!;Kunst, Kultur, Unterhaltung;Förderung interkultureller Kommunikation;VM;0.0
I would like to share my feelings with others.;relatedness;Agents of Change;"Activity description
        Promote music as a tool for social inclusion and empowerment with an emphasis given on youth fewer opportunities, Develop the skills of young people at a personal and professional level by being involved in the design and implementation of music activities with an emphasis in instrumental, ensemble and orchestra activities and thus enhancing their employability, Create and establish a safe/comfort community hub for children and young people.                    Accommodation, food and transport arrangements
        Free accommodation (Sistema Cyprus will provide en-suite rooms in a shared housing building)
Food allowance and pocket money will be provided by Sistema Cyprus                    Training during the activity
        Design and implement activities related to issues addressing the needs of young people with emphasis given on youth with fewer opportunities in order to promote social inclusion. The activities will aim to bring together young people participating at Sistema Cyprus with young people from other socio-economic groups and form friendly social ties through their experience of co-participating in community music activities amongst others. Practise teaching and leadership skills in various instrumental, ensemble and orchestra activities depending on the skills they will want to improve and build.                    Participant profile
        We aspire to host determined young people who are motivated to participate in Sistema Cyprus' activities and who strive for the opportunities to learn how to use music as a tool for social inclusion and integration of migrant and refugee communities. Prepared to take up a delicate role in contact with young people that often come from complex family situations. Tolerance, patience, firmness, creativity
Excellent communication and interpersonal skills.";Kunst, Kultur, Unterhaltung;Music activities for social inclusion;EU;0.0
Decrease amount of unnecessary and tedious tasks in my life;relatedness;"Marketing Assistant
          
          


Save to Favorites";CHM Bible Theatre is looking for a Marketing Assistant. This person will volunteer their expertise in marketing, social media management, recruitment, newsletters, donor database management, coordinating events and other marketing duties.;Kunst, Kultur, Unterhaltung;Marketing für Theater;VM;0.0
I would like to be less shy or more assertive.;relatedness;Recherche Meister;Unser Samenverein hat sich zum Ziel gesetzt, das Wissen und den Brauch dieser vor allem im Mittelalter wichtigen Berufsgruppe zu erhalten und weiterzugeben. Wir sind auf der Suche nach geschichtsinteressierten Menschen, welche gerne recherchieren und diverse Bibliotheken, Archive, etc. durchsuchen und Informationen zum Samenwesen in unserer Region finden, aufbereiten und unserem Verein zur Verfügung stellen.;Kunst, Kultur, Unterhaltung;;SELF;0.0
I would like to get to know 5 new persons;relatedness;Art & nature development at Slovak countryside;"Activity description
        Poton operates as a unique theatre and art centre in Slovakia, being located at countryside. We are currently searching for 2 volunteers for a 12 month long period to integrate to our team and cover these activities: 
- help in general maintenance of the art centre 
- help with packing and moving of the inventory during the reconstruction of the building of the centre (07/2024 - 11/2024)
- technical and production help during cultural events of the centre 
- gardening in Parc of Arts (grass mowing, watering, etc) 
- help in the kitchen and bar during rehearsals and events 
- development of own project (optional)
- development of leisure activities for locals (optional)
 We are searching for a motivated and flexible people who are not afraid to actively help us during our cultural, art and educational activities. We will also support you with organizaation of your own project and with leading activities for local community in the extent you feel comfortable with.                    Accommodation, food and transport arrangements
        Accomodation, food and transport will be provided and covered by hosting organisation. We offer shared accomodation directly in the village Bátovce in a house. We provide pocket money of 6€/day and food allowance of 7€/day.
Transport to and from the project will be covered. Also the travelling related to the project.                    Training during the activity
        We provide training by experienced staff and external professionals in areas necessary for the volunteer to integrate to his/her tasks and activities smoothly. We always consider desires and preferences of the volunteer.                    Participant profile
        We are searching for a motivated, flexible and proactive person who is not afraid of manual work which is a big part of work in independent art centre. A big reconstruction of our building is planned for future months and we will need every extra hand. Our organisation team is small but we do several very interesing projects. We would like the voolunteer to be to part of the team, but also independent, able to keep occupied. Potentials should take into consideration our location - countryside, which does not offer a lot of social life. Nature and peace is what you can find here instead.";Kunst, Kultur, Unterhaltung;Art centre in countryside;EU;0.0
I would like to influence and persuade others.;relatedness;Team of volunteers for heritage - Culture crew;"Activity description
        This voluntary project will gather a group of 10 European volunteers to create a team. Two missions : enchancement of built heritage and the development of relations with locals. The worksite will be in Côtes d'Armor county from July 24rd to August 21th. With a professional technical leader they might have to do some masonry works on a old wall During this mission the volunteers will have to develop projects to exchange or integrate local people. The volunteers will work from Monday to Friday. Depending of the opportunities, a time will be spared to discover the region. Before and after the workcamps, volunteers will be accomodated in Rennes                     Accommodation, food and transport arrangements
        Individual tents during workcamps, and shared bedrooms in Youth hostel during periods in Rennes (before and after the workcamps) Common budget for food during workcamps. Pocket money 7euros/day The team will have 2 cars during the whole period                     Training during the activity
        Short term - no training                    Participant profile
        18 - 30 years old Being a volunteer requires commitment, sense of responsability, open minded, motivation and availability during all the project.The volunteers will have to deal with a mixed group of different nationalities and create relationships with local communities. Also, the volunteer have to be interested by french language and culture, and be able to do physical outside work";Kunst, Kultur, Unterhaltung;Die Freiwilligen werden gebeten, das kulturelle Erbe zu verbessern und Beziehungen zur lokalen Bevölkerung aufzubauen, was darauf hindeutet, dass diese Freiwilligentätigkeit am ehesten im Bereich Kunst, Kultur und Unterhaltung stattfindet.;EU;0.0
I would like to be better than others.;relatedness;Graphic design and communication volunteer at VISIONEERS (3-12 months);"Activity description
        VISIONEERS is a Berlin-based youth organization that aims to promote dialogue between young people of diverse backgrounds and increase cultural awareness. You would be a member of our international staff and support our youth projects and volunteering programms with your design skills. You would accompany our social activities, projects, workshops, excursions, language courses etc. and support us in creating social media content and communication material. So if you love Social Media, graphic design and maybe even photography and video editing - go ahead and apply! We will give you the freedom to develop yourself professionally and personally and to contribute your own ideas to promote VISIONEERS work in Berlin and abroad. Start date + duration are flexible (3 - 12 months). If you have samples of your design work / videos / social media channel, we would love to get an impression. https://www.visioneers.berlin/ *Please note: Basic German is required for this position*                    Accommodation, food and transport arrangements
        As an ESC-volunteer your costs for accommodation, transport, food, and pocket money during your stay will be covered according to the framework of the ESC-Program. You will either live in a host family or have your own room in a co-sharing accommodation. We will provide a ticket for public transport in Berlin and you will have a monthly allowance for food.                    Training during the activity
        Whilst working on alternate activities and projects, you will gain experience in working with an international team, get to know a NonProfit Organisation and, of course, put your graphic skills into action. Our team provides regular feedback and supports you in your personal growth journey.                    Participant profile
        APPLY: * Send a cv and motivation letter in German to: ntepass@visioneers.berlin
- Motivated, reliable, organized and structured 
- Solid knowledge of German (B1) is vital for this role because part of our Social Media activities is in German 
- IT literacy (MS-Office, Social Media, Canva, graphic design programms) 
– experience in marketing, communication, design desirable 
- knowledgte and interest in Photography and Video 
- Eager to derive fresh, creative ideas; a hands-on mentality,";Kunst, Kultur, Unterhaltung;Graphic design and communication;EU;0.0
I would like to have others to rely on.;relatedness;fashion and textiles volunteer;"the fashion and textiles volunteer supports our creative programs by helping to run and maintain a welcoming, safe, and fun environment in the fashion and textiles studio while helping ihuman artists bring their creative ideas to life. 
builds trusting and positive relationships with ihuman young artists.
engages and meets ihuman young artists where they are at emotionally, intellectually, and psychologically.
facilitates and supports youth fashion and textiles projects when needed.
assists with technical guidance to artists for sewing, pattern-drafting, textile, makeup techniques, styling, or other fashion related projects. 
assists with operational tasks such regular studio and equipment maintenance, and inventory management of resources in the fashion studio. 
assists with the coordination of occasional projects such as fashion shows, collective studio projects, exhibits, community events, promotional events, etc.
option to lead occasional fashion and textiles projects and workshops. 
other general tasks and assistance to projects assigned by the fashion studio and theatre coordinator";Kunst, Kultur, Unterhaltung;Fashion and textiles support;VC;0.0
I would like to have sexual experiences.;relatedness;2024 JO in rural areas: Breakdancing, health sports, media;"Activity description
        The 2024 Ouch'lympic Games are a team volunteering event from July 31 to August 15, 2024 in L'Aigle located in the Pays d'Ouche in Normandy, France to promote during the Paris Olympics: 1) European culture : 
- Celebrate 10 years of welcoming European volunteers to the MJC de L’Aigle 
- Create spaces for meetings and exchanges 
2) Urban cultures : 
- Offer “breakdance” initiations and street art creations 
- Participate in the organization of an international Battle 
3) Healthy sports culture : 
- Invite those who wish to do a daily sporting activity (muscle awakening, walking, cycling, etc.) 
- Encourage the practice of disabled sports during our events from August 3 to 10: Boggia, blind football, etc. 
4) Media culture : 
- Develop citizen expression at the microphone of Kolectiv’ radio : giving a voice to young people and residents 
- Promote team volunteering and our activities with video: parody of an Olympic event, go live on social networks.
                    Accommodation, food and transport arrangements
        This European team volunteering will take place in tent accommodation at the Jo Masso stadium in L’Aigle. We will use the locker room toilets and showers. We will benefit from a covered space with an adapted kitchen, fridges, a bar and a covered outdoor space with tables for eating.
The meals (intercultural, vegetarian, etc.) will be carried out by the young people as well as by the members of our team.
We will favor transport on foot and by bike to get to the entertainment venues.
Mini buses will provide logistical and physical support.
                    Training during the activity
        On arrival, young people will have:
- Times of mutual knowledge
- A presentation of the animation week
- An introduction to radio animation
- Raising awareness about healthy sports
- A breakdance work shop
- A shared time on the creation of rules of life
- A distribution of each person’s roles with their personal positioning                    Participant profile
        
We want participants to be young Europeans under 30 years old. 
The first motivation is to want to live a human and intercultural experience.
We favor young people with sensitivity or skills in the following areas:
- Breakdance and graffiti
- Radio and video
- Sports";Kunst, Kultur, Unterhaltung;Die Freiwilligentätigkeit beinhaltet Elemente wie Breakdance, Straßenkunst, Radioproduktion und Videoarbeit, die alle im Bereich Kunst, Kultur und Unterhaltung angesiedelt sind.;EU;0.0
I would like to procrastinate.;relatedness;"Male Actors Needed for Table Reads over Zoom
          
          


Save to Favorites";Women in Film San Francisco Bay Area's Script Incubator hosts monthly table reads on the third Monday of the month over Zoom featuring works-in-progress from our screenwriters. We meet from 7:00-9:00 pm Pacific Time and are looking for more male actors to join our team. Actors read script portions aloud to help our screenwriters hear their words so they can make adjustments to the dialogue. You are also invited to give feedback to our writers to help improve their scripts. All sessions will be recorded, and you may download the Zoom recording to use in your acting reels. Some screenwriters are also producers, so your talents will be exposed to some who may wish to hire you in the future.Please send us an acting resume or demo reel if you have one.;Kunst, Kultur, Unterhaltung;Table Reads über Zoom;VM;0.0
I would like to have stability in life and avoid change.;relatedness;Young commitment for historic gardens - Monument preservation;"Activity description
        At the place „Schlosspark Altdöbern“, in the south of the German state Brandenburg,  the organization „Internationalen Jugendgemeinschaftsdienste“ carries on the ESC together with a partner organization “Brandenburgische Schlösser gGmbH “. The volunteering service concentrates on cultural heritage preservation, especially on historical gardens.  The program that runs the project is called the ""Internationale Jugendbauhütte Gartendenkmalpflege"".  The park of Altdöbern belongs to the municipality, who supports the project and hosts the European Volunteers friendly and always helpfully. The four ESC volunteers are living and working together with four other young volunteers from Germany. The volunteers commit to restore and take care of an historical Park. Main matter of the project is that young people from several countries work and live together, take actively part to the life in the village and commit for the development of this rural area.                     Accommodation, food and transport arrangements
        All the volunteers live together in share flats in Altöbern and organize their everyday life autonomously. Every volunteer get a furnished room and shares kitchen and bathroom. Living and working together in an international group bring them to face the question of diversity in terms of origins, nations, religions and cultures. The young people can develop the following competences: communicating, conflict management, working in team, autonomy, organization and empathy. Of course, language skills and intercultural competences can be deepened.                    Training during the activity
        All the volunteers work in an international team under the supervision of a landscape engineer and with the pedagogical support of the tutor. Because they restore a very beautiful and precious garden heritage, the volunteers will mostly work outside. While doing this, their awareness for their joint European heritage will expand and also their understanding for conservation. The tutor and mentor of the project support the volunteers in this process via visits, interviews, workshops and seminars.                    Participant profile
        The volunteers commit to restore and take care of an historical Park. Because they restore a very beautiful and precious garden heritage, the volunteers will mostly work outside. Main matter of the project is that young people from several countries work and live together, take actively part to the life in the village and commit for the development of this rural area. Via these activities, volunteers can develop the feeling to be part of the European community. Proven basic knowledge (A1 level) of German is obligatory. Of course, language skills and intercultural competences can be deepened.";Kunst, Kultur, Unterhaltung;Historische Gärten bewahren;EU;1.0
I would like to have a stable, secure family life.;relatedness;volunteer greeter;do you love working with the public, both locals and visitors to campbell river? starting may long weekend we need volunteers to operate a kiosk greeting visitors. information about the organization and activities for kids will be handed out, and volunteers will be trained to provide a brief overview of the centre and of the fishing vessel bcp 45. from here you can connect visitors with a guide, if one is available.;Kunst, Kultur, Unterhaltung;Greeting visitors and providing information.;VC;0.0
I would like to become a leader attain leadership skills;relatedness;Interkulturelle Beratung;Kulturelle Unterschiede führen seit jeher zu Konflikten. Gerade in einer vielfältigen Gesellschaft wie unserer kommen ebenfalls laufend kulturelle Konflikte auf. Aus diesem Grund möchten wir monatlich eine kostenlose interkulturelle Beratung anbieten! Du möchtest anderen gerne mehr über unsere heimische Kultur erläutern oder mehr über andere Kulturen erfahren, dann melde dich bei uns!;Kunst, Kultur, Unterhaltung;;SELF;1.0
Stop smoking;relatedness;Beyond the Clouds, a musical performance featuring horses;"Activity description
        The project Beyond the Clouds will take place during the month of August. Caprifolen will produce a musical involving mixed groups of young and adult participants, both with and without disabilities. The musical Beyond the Clouds is a performance featuring horses that combines elements of circus, dance, acrobatics, vaulting, and theater.

The project will encompass various tasks, including supporting the artistic process in areas such as scriptwriting, music, dance, circus, acrobatics, media, sound technology, lighting, marketing, rehearsals, social media, props, costume, scenography, camp activities, and games. Participants will follow the entire process from the start to the final phase of musical production. Each individual will focus on their area of interest and be part of a creative and artistic team.                    Accommodation, food and transport arrangements
        The project will fund accommodation for the entire duration of the volunteering experience. Volunteers will stay in small cabins 2 in each cabin. There is a common area with a kitchen, soffas TV and WiFi, and an outdoor barbecue area.  There is shared bathroom and showers.
There will be a budgets that will be allocated to volunteers to buy food.
Volunteers with a driver's license will be provided with a car for shopping. Bicycles are also available for use at any time. There also is a heated pool that can be used after agreement with the mentor.                     Training during the activity
        During the project, volunteers will receive training in working with mixed groups. They will also learn the basics of working with and around horses, as well as with the target group—people with disabilities. Additionally, volunteers will gain knowledge in various fields, including scriptwriting, music, dance, acrobatics, media, sound technology, lighting, marketing, rehearsals, camp activities, vaulting, and games. Caprifolen will provide support and work towards achieving the learning goals for the project and the ESC.                    Participant profile
        Eligible participants are young people between 18 and 30 years of age. We are seeking a person who would like to live on a horse farm. You should be motivated and willing to work in a dynamic team we different people with or without disabilities, share ideas and take initiative. A background with experience in the social field, horses, theater, dance, art, gymnastics, circus, horse vaulting is considered an asset.";Kunst, Kultur, Unterhaltung;Musical performance with horses;EU;0.0
I would like to be able to attract a sexual partner.;relatedness;"Grant Writer
          
          


Save to Favorites";Founded in 1992, the Springboro Area Historical Society is fully run by volunteers dedicated to sharing our community's unique history. We need assistance with grants for things such as: Maintenance and repair on our 200+ year old buildingDigitization of resourcesThe purchase of additional artifactsProfessional research assistance for things such as local ties to the Underground RailroadResources for the community;Kunst, Kultur, Unterhaltung;Fördermittel für Kulturerhaltung;VM;0.0
I would like to be conventional or traditional.;relatedness;Events Volunteer: Organise Holistic/Eco Events;"Activity description
        Check our volunteering opportunities and other info on our website: https://anandakalyani.org/esc-volunteering/

Join us at Ananda Kalyani to make our exciting events happen! You will be involved in 
1) the organisation of events; brainstorming, planning, budgeting, administration of payments, sign up forms, and meetings with other teams, venue seekers, and facilitators;
 2) Feedback Rounds: developing better strategies and structures for events management;
3) Task distribution for events and check-up that everything goes as planned;
 4) fulfilling the role of host and receptionist for events.
Note: Applications should be in English. 
                    Accommodation, food and transport arrangements
        Volunteers will be provided accommodation in one of the community houses, sharing a room with one or more fellow volunteers. The rooms are equipped with the basic comforts such as a bed, sleeping bags, pillow, and light. If preferred, there is also the option to camp with a tent on the land in the warmer seasons. Food: a local team prepares the food for the community (lunch and dinner) according to the Sattvic diet. There is a self service policy for breakfast. Throughout the whole day there is a tea table with tea, coffee, and fruits. Rides will be provided if needed among the community.                    Training during the activity
        As a volunteer, you will be mentored, coached and trained in your role from the concerning coordinator, through direct guidance and through learning by doing.
Daily tasks will require your communication skills in English. At last, the nourishing and at the same time challenging surroundings invite you to grow and expand as a person, along with a healthy lifestyle and wellbeing tools.

                    Participant profile
        Someone who; naturally works autonomously however knows how to be a team player; is good at following guidelines from our committees, administrative and organisation; is used to dealing with many parameters, groups, and people; has experience in events organisation; has a passion for doing spiritual/eco events; is solution oriented and creative in times of stress/challenges; is accountable and responsible. 
Note: Applications should be in English.";Kunst, Kultur, Unterhaltung;Organisation von Events und Veranstaltungen;EU;0.0
I would like to strengthen my social competency;relatedness;Participate in the life of a non-profit cinema;"Activity description
        With the staff and French volunteers of the cinema, the volunteer will participate to : - the running of the cinema: tickets selling, programs making, administrative tasks (making programs, posters, updating the website and facebook page) - Write articles in the monthly members newspaper - Participate to the cinema workshops with the children and teenagers groups - When relevant, create some videos for the facebook page of the cinema for the French volunteers - Organize some specific events, like European short movies program, movies about the volunteer's country, exhibitions... - Activities in partnership with the other ECS volunteers and hosting organizations of Redon, in the frame of a “collective project about Europe” The volunteer who will apply must be available for 12 months from September                    Accommodation, food and transport arrangements
        The volunteer will share a furnished and shared flat with 3 other European volunteers hosted in Redon, or with french people. Everyone has got his own single bedroom, and the flat mates have to share the living, kitchen and bathroom. The flat is 20 mn walk from the cinema, and 5 from the town center. The volunteer can also use a bicycle to move in the town. The volunteer will get a monthly allowance for his food.                    Training during the activity
        The volunteer will get the support from the team and the mentor, who will take time to exchange with the volunteer and guide him/her in his/her activities. On another hand, the volunteer will have the support of the ECS coordinator in Mapar (the coordinating organization), who will support him/her during all his stay. The volunteer will also follow French classes during all the length of the project.                    Participant profile
        The volunteer should be motivated to work in a cinema and to speak french. Some bases in French and informatics will be a great help, as well as the strong motivation to be involved into an association. The volunteer should be ready to work in the evenings and in the week-ends, because of the specificities of this project. The volunteer should be from an EU country.";Kunst, Kultur, Unterhaltung;Cinema activities and workshops.;EU;0.0
